frame,r_state,r_reason,r_x,r_y,r_score,candidate_count,local_index,target_x,target_y,target_radius,geometry_valid,dx_img,dy_img,distance_px,angle_rad,angle_deg
193,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
194,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
195,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
196,lost,NO_R_CANDIDATE,,,,1,0,771.500000,671.500000,39.700001,0,,,,,
197,lost,NO_R_CANDIDATE,,,,1,0,770.500000,680.500000,38.000000,0,,,,,
198,lost,NO_R_CANDIDATE,,,,1,0,763.500000,692.500000,40.599998,0,,,,,
199,detected,OK,754.000000,487.500000,0.896551,1,0,760.500000,698.500000,40.099998,1,6.500000,211.000000,211.100095,-1.540000,-88.235522
200,detected,OK,753.000000,493.000000,0.925239,1,0,759.500000,704.500000,40.000000,1,6.500000,211.500000,211.599858,-1.540073,-88.239691
201,detected,OK,751.000000,502.500000,0.884946,1,0,755.500000,715.500000,40.200001,1,4.500000,213.000000,213.047530,-1.549673,-88.789706
202,detected,OK,750.500000,505.500000,0.921420,1,0,754.500000,718.500000,40.400002,1,4.000000,213.000000,213.037555,-1.552019,-88.924149
203,detected,OK,750.500000,508.500000,0.922443,1,0,753.500000,719.500000,34.299999,1,3.000000,211.000000,211.021326,-1.556579,-89.185423
204,detected,OK,750.500000,511.500000,0.922725,1,0,752.500000,722.500000,37.700001,1,2.000000,211.000000,211.009478,-1.561318,-89.456928
205,detected,OK,751.000000,512.500000,0.892992,1,0,747.500000,725.500000,38.500000,1,-3.500000,213.000000,213.028754,-1.587227,-90.941395
206,detected,OK,751.500000,513.000000,0.897087,1,0,746.500000,725.500000,38.700001,1,-5.000000,212.500000,212.558815,-1.594321,-91.347887
207,detected,OK,752.000000,514.500000,0.890182,1,0,747.500000,727.500000,36.000000,1,-4.500000,213.000000,213.047530,-1.591920,-91.210294
208,detected,OK,752.000000,515.000000,0.918133,1,0,743.500000,724.500000,40.799999,1,-8.500000,209.500000,209.672363,-1.611347,-92.323375
209,detected,OK,752.500000,515.000000,0.887959,1,0,742.500000,726.500000,40.000000,1,-10.000000,211.500000,211.736275,-1.618042,-92.707004
210,detected,OK,753.000000,515.000000,0.919533,1,0,743.500000,729.500000,36.400002,1,-9.500000,214.500000,214.710270,-1.615056,-92.535918
211,detected,OK,753.000000,515.500000,0.891201,1,0,739.500000,727.500000,40.000000,1,-13.500000,212.000000,212.429400,-1.634390,-93.643632
212,detected,OK,753.000000,515.500000,0.893115,1,0,734.500000,726.500000,38.000000,1,-18.500000,211.000000,211.809466,-1.658250,-95.010750
213,detected,OK,753.000000,515.500000,0.892357,1,0,738.500000,728.500000,36.400002,1,-14.500000,213.000000,213.492974,-1.638767,-93.894408
214,detected,OK,752.500000,515.500000,0.921083,1,0,733.500000,727.500000,39.400002,1,-19.000000,212.000000,212.849712,-1.660180,-95.121317
215,detected,OK,753.000000,515.500000,0.888675,1,0,731.500000,727.500000,38.599998,1,-21.500000,212.000000,213.087423,-1.671866,-95.790858
216,detected,OK,752.500000,516.000000,0.885027,1,0,732.500000,727.500000,34.700001,1,-20.000000,211.500000,212.443522,-1.665079,-95.401977
217,detected,OK,752.000000,517.000000,0.917965,1,0,728.500000,726.500000,34.900002,1,-23.500000,209.500000,210.813899,-1.682501,-96.400219
218,detected,OK,752.000000,517.000000,0.918047,1,0,727.500000,727.500000,34.900002,1,-24.500000,210.500000,211.920976,-1.686665,-96.638760
219,detected,OK,752.000000,515.500000,0.889583,1,0,726.500000,724.500000,37.799999,1,-25.500000,209.000000,210.549875,-1.692206,-96.956252
220,detected,OK,751.500000,515.500000,0.859939,1,0,720.500000,726.500000,37.799999,1,-31.000000,211.000000,213.265093,-1.716672,-98.358068
221,detected,OK,751.000000,515.500000,0.889657,1,0,721.500000,725.500000,34.700001,1,-29.500000,210.000000,212.061901,-1.710359,-97.996368
222,detected,OK,750.500000,515.500000,0.921896,1,0,719.500000,723.500000,37.799999,1,-31.000000,208.000000,210.297408,-1.718746,-98.476878
223,detected,OK,750.000000,517.000000,0.920006,1,0,717.500000,727.500000,36.400002,1,-32.500000,210.500000,212.994131,-1.723981,-98.776840
224,detected,OK,750.000000,517.000000,0.921494,1,0,712.500000,726.500000,37.799999,1,-37.500000,209.500000,212.829744,-1.747918,-100.148334
225,detected,OK,751.000000,517.000000,0.916197,1,0,712.500000,722.500000,36.500000,1,-38.500000,205.500000,209.075345,-1.755997,-100.611238
226,detected,OK,752.000000,515.000000,0.920239,1,0,712.500000,722.500000,39.700001,1,-39.500000,207.500000,211.226182,-1.758907,-100.777954
227,detected,OK,753.000000,515.000000,0.921710,1,0,712.500000,723.500000,40.000000,1,-40.500000,208.500000,212.397034,-1.762652,-100.992508
228,detected,OK,754.000000,515.000000,0.922813,1,0,709.500000,723.500000,37.799999,1,-44.500000,208.500000,213.195919,-1.781071,-102.047832
229,detected,OK,754.000000,515.500000,0.892722,1,0,710.500000,723.500000,40.000000,1,-43.500000,208.000000,212.500000,-1.776960,-101.812282
230,detected,OK,754.500000,517.000000,0.888330,1,0,710.500000,721.500000,38.599998,1,-44.000000,204.500000,209.179946,-1.782724,-102.142583
231,detected,OK,755.000000,515.000000,0.919805,1,0,708.500000,718.500000,37.799999,1,-46.500000,203.500000,208.745060,-1.795441,-102.871179
232,detected,OK,758.000000,507.000000,0.925535,1,0,708.500000,712.500000,39.299999,1,-49.500000,205.500000,211.377624,-1.807169,-103.543177
233,detected,OK,764.000000,493.500000,0.900867,1,0,713.500000,698.500000,38.599998,1,-50.500000,205.000000,211.128515,-1.812329,-103.838786
234,detected,OK,773.500000,468.000000,0.896678,1,0,720.500000,674.500000,37.799999,1,-53.000000,206.500000,213.192988,-1.822032,-104.394745
235,detected,OK,780.500000,457.500000,0.928611,1,0,726.500000,660.500000,39.700001,1,-54.000000,203.000000,210.059515,-1.830785,-104.896277
236,detected,OK,794.000000,433.500000,0.900151,1,0,737.500000,635.500000,39.799999,1,-56.500000,202.000000,209.752831,-1.843530,-105.626464
237,detected,OK,797.000000,425.000000,0.923521,1,0,742.500000,625.500000,37.200001,1,-54.500000,200.500000,207.775119,-1.836204,-105.206747
238,detected,OK,798.000000,419.000000,0.922995,1,0,739.500000,619.500000,39.900002,1,-58.500000,200.500000,208.860001,-1.854686,-106.265691
239,detected,OK,801.000000,399.500000,0.902509,1,0,743.500000,603.500000,40.799999,1,-57.500000,204.000000,211.948697,-1.845532,-105.741167
240,detected,OK,802.000000,386.000000,0.871385,1,0,742.500000,589.500000,35.299999,1,-59.500000,203.500000,212.020046,-1.855251,-106.298038
241,detected,OK,799.000000,381.500000,0.900730,1,0,735.500000,583.500000,35.299999,1,-63.500000,202.000000,211.745720,-1.875372,-107.450876
242,detected,OK,800.000000,387.500000,0.898900,1,0,735.500000,589.500000,40.500000,1,-64.500000,202.000000,212.047754,-1.879870,-107.708643
243,detected,OK,804.000000,394.500000,0.896913,1,0,736.500000,593.500000,39.900002,1,-67.500000,199.000000,210.136265,-1.897814,-108.736730
244,detected,OK,798.500000,395.500000,0.929012,1,0,732.500000,594.500000,32.900002,1,-66.000000,199.000000,209.659247,-1.891039,-108.348530
245,detected,OK,794.000000,390.000000,0.867894,1,0,727.500000,586.500000,36.900002,1,-66.500000,196.500000,207.447584,-1.897120,-108.696970
246,detected,OK,790.000000,393.000000,0.924275,1,0,716.500000,591.500000,37.500000,1,-73.500000,198.500000,211.670735,-1.925420,-110.318436
247,detected,OK,794.000000,391.500000,0.898342,1,0,723.500000,590.500000,35.500000,1,-70.500000,199.000000,211.119042,-1.911271,-109.507778
248,detected,OK,796.000000,394.000000,0.869776,1,0,722.500000,588.500000,37.200001,1,-73.500000,194.500000,207.924265,-1.932100,-110.701179
249,detected,OK,792.000000,400.000000,0.869095,1,0,714.500000,594.500000,39.700001,1,-77.500000,194.500000,209.371679,-1.949972,-111.725185
250,detected,OK,794.000000,403.500000,0.898116,1,0,715.500000,601.500000,37.299999,1,-78.500000,198.000000,212.993545,-1.948251,-111.626575
251,detected,OK,796.500000,419.500000,0.931701,1,0,717.500000,613.500000,39.299999,1,-79.000000,194.000000,209.468375,-1.957508,-112.156964
252,detected,OK,800.500000,429.500000,0.931318,1,0,719.500000,623.500000,38.500000,1,-81.000000,194.000000,210.230826,-1.966319,-112.661794
253,detected,OK,812.000000,444.000000,0.869902,1,0,729.500000,636.500000,38.799999,1,-82.500000,192.500000,209.433760,-1.975688,-113.198591
254,detected,OK,817.000000,455.500000,0.903148,1,0,735.500000,649.500000,40.700001,1,-81.500000,194.000000,210.423977,-1.968512,-112.787427
255,detected,OK,820.000000,475.500000,0.900787,1,0,736.500000,668.500000,39.400002,1,-83.500000,193.000000,210.288492,-1.979122,-113.395360
256,detected,OK,824.000000,481.500000,0.901528,1,0,740.500000,672.500000,38.000000,1,-83.500000,191.000000,208.454431,-1.982932,-113.613639
257,detected,OK,828.000000,486.500000,0.901489,1,0,743.500000,680.500000,35.500000,1,-84.500000,194.000000,211.603993,-1.981583,-113.536353
258,detected,OK,834.000000,497.500000,0.900622,1,0,744.500000,688.500000,39.099998,1,-89.500000,191.000000,210.929491,-2.008999,-115.107149
259,detected,OK,837.000000,503.500000,0.900440,1,0,745.500000,693.500000,38.299999,1,-91.500000,190.000000,210.884447,-2.019599,-115.714487
260,detected,OK,839.000000,503.000000,0.924740,1,0,746.500000,692.500000,33.799999,1,-92.500000,189.500000,210.870814,-2.024900,-116.018236
261,detected,OK,841.000000,502.000000,0.920756,1,0,748.500000,692.500000,35.200001,1,-92.500000,190.500000,211.769922,-2.022829,-115.899555
262,detected,OK,842.000000,503.000000,0.928769,1,0,748.500000,692.500000,35.700001,1,-93.500000,189.500000,211.311382,-2.029153,-116.261902
263,detected,OK,843.500000,501.500000,0.863970,1,0,748.500000,686.500000,36.900002,1,-95.000000,185.000000,207.966343,-2.045196,-117.181111
264,detected,OK,845.500000,493.500000,0.869816,1,0,743.500000,676.500000,37.700001,1,-102.000000,183.000000,209.506563,-2.079286,-119.134292
265,detected,OK,845.500000,489.000000,0.902399,1,0,744.500000,672.500000,35.799999,1,-101.000000,183.500000,209.459423,-2.073953,-118.828770
266,detected,OK,846.500000,483.500000,0.931972,1,0,745.500000,668.500000,39.400002,1,-101.000000,185.000000,210.774761,-2.070522,-118.632154
267,detected,OK,846.500000,481.500000,0.925764,1,0,746.500000,662.500000,36.900002,1,-100.000000,181.000000,206.787330,-2.075546,-118.920044
268,detected,OK,847.500000,479.500000,0.866841,1,0,746.500000,660.500000,37.400002,1,-101.000000,181.000000,207.272767,-2.079769,-119.162000
269,detected,OK,846.500000,477.500000,0.926791,1,0,744.500000,657.500000,37.700001,1,-102.000000,180.000000,206.891276,-2.086345,-119.538782
270,detected,OK,847.500000,477.000000,0.900908,1,0,740.500000,656.500000,37.700001,1,-107.000000,179.500000,208.971888,-2.108343,-120.799181
271,detected,OK,847.500000,477.000000,0.896736,1,0,737.500000,654.500000,39.400002,1,-110.000000,177.500000,208.821096,-2.125589,-121.787253
272,detected,OK,850.000000,473.500000,0.896894,1,0,740.500000,653.500000,35.000000,1,-109.500000,180.000000,210.689938,-2.117321,-121.313543
273,detected,OK,850.500000,473.500000,0.926354,1,0,737.500000,652.500000,36.599998,1,-113.000000,179.000000,211.683726,-2.133902,-122.263600
274,detected,OK,850.000000,475.000000,0.923580,1,0,737.500000,648.500000,35.000000,1,-112.500000,173.500000,206.781285,-2.146056,-122.959980
275,detected,OK,849.000000,461.000000,0.924588,1,0,736.500000,637.500000,35.000000,1,-112.500000,176.500000,209.304802,-2.138258,-122.513183
276,detected,OK,849.500000,456.000000,0.898045,1,0,735.500000,631.500000,34.700001,1,-114.000000,175.500000,209.275536,-2.146871,-123.006651
277,detected,OK,843.000000,467.000000,0.927849,1,0,727.500000,637.500000,31.900000,1,-115.500000,170.500000,205.938097,-2.166206,-124.114473
278,detected,OK,844.000000,470.500000,0.889666,1,0,724.500000,640.500000,35.200001,1,-119.500000,170.000000,207.798580,-2.183494,-125.104963
279,detected,OK,846.000000,475.000000,0.928180,1,0,727.500000,646.500000,39.099998,1,-118.500000,171.500000,208.457430,-2.175431,-124.643003
280,detected,OK,841.500000,487.000000,0.900398,1,0,718.500000,654.500000,35.200001,1,-123.000000,167.500000,207.810611,-2.204192,-126.290894
281,detected,OK,838.000000,483.500000,0.903538,1,0,715.500000,651.500000,39.400002,1,-122.500000,168.000000,207.918854,-2.200830,-126.098284
