frame,video_time_s,r_state,r_reason,valid_candidates,target_id,track_state,event,reason,lost_frames,lock_active,selected_index,r_x,r_y,target_x,target_y,target_radius,dx_img,dy_img,distance_px,angle_rad,angle_deg,angle_error_deg
136,4.533333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
137,4.566667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
138,4.600000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
139,4.633333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
140,4.666667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
141,4.700000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
142,4.733333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
143,4.766667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
144,4.800000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
145,4.833333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
146,4.866667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
147,4.900000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
148,4.933333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
149,4.966667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
150,5.000000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
151,5.033333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
152,5.066667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
153,5.100000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
154,5.133333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
155,5.166667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
156,5.200000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
157,5.233333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
158,5.266667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
159,5.300000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
160,5.333333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
161,5.366667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
162,5.400000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
163,5.433333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
164,5.466667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
165,5.500000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
