frame,video_time_s,r_state,r_reason,valid_candidates,target_id,track_state,event,reason,lost_frames,lock_active,selected_index,r_x,r_y,target_x,target_y,target_radius,dx_img,dy_img,distance_px,angle_rad,angle_deg,angle_error_deg
658,21.933333,detected,OK,2,11,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,1,783.500000,421.000000,596.500000,438.500000,43.599998,-187.000000,17.500000,187.817065,-3.048282,-174.653667,1.228144
659,21.966667,detected,OK,0,11,lost,LOST,NO_VALID_TARGET,1,1,,783.500000,421.000000,,,,,,,,,
662,22.066667,detected,OK,1,11,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,782.500000,421.000000,594.500000,445.500000,43.799999,-188.000000,24.500000,189.589689,-3.012004,-172.575107,0.377728
663,22.100000,detected,OK,1,11,lost,LOST,NO_MATCH,1,1,,782.000000,421.000000,,,,,,,,,
665,22.166667,detected,OK,1,11,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,782.000000,421.000000,594.500000,452.500000,43.599998,-187.500000,31.500000,190.127589,-2.975147,-170.463364,0.382845
666,22.200000,detected,OK,0,11,lost,LOST,NO_VALID_TARGET,1,1,,782.000000,421.500000,,,,,,,,,
673,22.433333,detected,OK,0,11,lost,RELEASED,NO_VALID_TARGET,8,0,,782.000000,422.500000,,,,,,,,,
689,22.966667,detected,OK,1,12,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,785.000000,418.000000,605.500000,495.500000,44.900002,-179.500000,77.500000,195.515984,-2.734015,-156.647492,
690,23.000000,detected,OK,1,12,lost,LOST,NO_MATCH,1,1,,784.000000,419.000000,,,,,,,,,
692,23.066667,detected,OK,1,12,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,784.500000,419.000000,606.500000,501.500000,44.900002,-178.000000,82.500000,196.189322,-2.707583,-155.133072,1.514420
693,23.100000,detected,OK,1,12,lost,LOST,NO_MATCH,1,1,,785.000000,419.000000,,,,,,,,,
694,23.133333,detected,OK,2,12,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,786.500000,419.500000,607.500000,502.500000,44.900002,-179.000000,83.000000,197.306868,-2.707415,-155.123451,0.999993
695,23.166667,detected,OK,0,12,lost,LOST,NO_VALID_TARGET,1,1,,786.000000,419.500000,,,,,,,,,
698,23.266667,detected,OK,1,12,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,786.500000,420.500000,611.500000,510.500000,45.000000,-175.000000,90.000000,196.786687,-2.666582,-152.783888,1.120330
699,23.300000,lost,NO_R_CANDIDATE,0,12,lost,LOST,R_LOST,1,1,,,,,,,,,,,,
706,23.533333,lost,NO_R_CANDIDATE,0,12,lost,RELEASED,R_LOST,8,0,,,,,,,,,,,,
914,30.466667,detected,OK,2,13,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,1,722.000000,491.500000,900.500000,604.500000,36.599998,178.500000,113.000000,211.261094,-0.564369,-32.335987,
